status_date_key,customer_id,customer_status,churn_reason,competitor_name
20251102,C1000000,Active,Price Too High,Jio
20251102,C1000001,Active,,Airtel
20251102,C1000002,Active,Low Usage,Vi
20251102,C1000003,Active,Better Competitor Offer,
20251102,C1000004,Active,Network Issue,Jio
20251102,C1000005,Active,Network Issue,Jio
20251102,C1000006,Active,Network Issue,Airtel
20251102,C1000007,Active,,
20251102,C1000008,Active,Better Competitor Offer,
20251102,C1000009,Active,Low Usage,Jio
20251102,C1000010,Active,Network Issue,Airtel
20251102,C1000011,Active,,
20251102,C1000012,Active,Low Usage,Vi
20251102,C1000013,Active,Network Issue,
20251102,C1000014,Active,Network Issue,
20251102,C1000015,Active,Network Issue,Jio
20251102,C1000016,Active,Price Too High,BSNL
20251102,C1000017,Active,Better Competitor Offer,Jio
20251102,C1000018,Active,Price Too High,BSNL
20251102,C1000019,Active,Price Too High,Vi
20251102,C1000020,Active,Better Competitor Offer,
20251102,C1000021,Active,Network Issue,
20251102,C1000022,Active,Price Too High,Jio
20251102,C1000023,Active,Price Too High,Jio
20251102,C1000024,Active,Price Too High,Airtel
20251102,C1000025,Active,Low Usage,
20251102,C1000026,Active,Network Issue,BSNL
20251102,C1000027,Active,Better Competitor Offer,
20251102,C1000028,Active,Better Competitor Offer,Vi
20251102,C1000029,Active,Network Issue,Jio
20251102,C1000030,Active,Better Competitor Offer,Jio
20251102,C1000031,Active,Network Issue,Jio
20251102,C1000032,Active,Network Issue,Vi
20251102,C1000033,Active,,
20251102,C1000034,Active,,Airtel
20251102,C1000035,Active,Low Usage,
20251102,C1000036,Active,Price Too High,Airtel
20251102,C1000037,Active,Network Issue,Airtel
20251102,C1000038,Active,Better Competitor Offer,Airtel
20251102,C1000039,Active,Price Too High,Airtel
20251102,C1000040,Active,Network Issue,
20251102,C1000041,Active,Price Too High,Airtel
20251102,C1000042,Active,Network Issue,Jio
20251102,C1000043,Active,,BSNL
20251102,C1000044,Active,Price Too High,
20251102,C1000045,Active,Better Competitor Offer,Vi
20251102,C1000046,Active,Price Too High,Jio
20251102,C1000047,Active,Better Competitor Offer,Jio
20251102,C1000048,Active,Better Competitor Offer,Jio
20251102,C1000049,Active,Network Issue,Jio
20251102,C1000050,Active,,
20251102,C1000051,Active,Low Usage,Jio
20251102,C1000052,Active,,Airtel
20251102,C1000053,Active,,Vi
20251102,C1000054,Active,Better Competitor Offer,
20251102,C1000055,Active,,Jio
20251102,C1000056,Active,Network Issue,Airtel
20251102,C1000057,Active,Network Issue,Jio
20251102,C1000058,Active,Network Issue,Jio
20251102,C1000059,Active,Price Too High,Airtel
20251102,C1000060,Active,Price Too High,Vi
20251102,C1000061,Active,Price Too High,Jio
20251102,C1000062,Active,Low Usage,Airtel
20251102,C1000063,Active,Price Too High,Jio
20251102,C1000064,Active,Price Too High,
20251102,C1000065,Active,Better Competitor Offer,Vi
20251102,C1000066,Active,Network Issue,
20251102,C1000067,Active,Low Usage,Jio
20251102,C1000068,Active,Network Issue,BSNL
20251102,C1000069,Active,,Airtel
20251102,C1000070,Active,Low Usage,Jio
20251102,C1000071,Active,Network Issue,BSNL
20251102,C1000072,Active,Network Issue,BSNL
20251102,C1000073,,Low Usage,
20251102,C1000074,Active,Low Usage,BSNL
20251102,C1000075,Active,Low Usage,Jio
20251102,C1000076,Active,Low Usage,Airtel
20251102,C1000077,Active,Network Issue,Airtel
20251102,C1000078,Active,Price Too High,Jio
20251102,C1000079,Active,Network Issue,BSNL
20251102,C1000080,Active,,Airtel
20251102,C1000081,Active,Better Competitor Offer,
20251102,C1000082,Active,Price Too High,Vi
20251102,C1000083,Active,Network Issue,Airtel
20251102,C1000084,Active,Price Too High,Jio
20251102,C1000085,Active,Price Too High,Jio
20251102,C1000086,Active,Low Usage,BSNL
20251102,C1000087,Active,Better Competitor Offer,
20251102,C1000088,Active,,Airtel
20251102,C1000089,Active,Price Too High,BSNL
20251102,C1000090,Active,Network Issue,Vi
20251102,C1000091,Active,Low Usage,
20251102,C1000092,Active,Low Usage,Jio
20251102,C1000093,Active,Better Competitor Offer,Airtel
20251102,C1000094,Active,Low Usage,Airtel
20251102,C1000095,Active,Price Too High,Airtel
20251102,C1000096,Active,Better Competitor Offer,Jio
20251102,C1000097,Active,Price Too High,Airtel
20251102,C1000098,Active,Network Issue,Vi
20251102,C1000099,Active,Network Issue,Jio
20251102,C1000100,Active,Network Issue,Vi
20251102,C1000101,Active,Better Competitor Offer,Vi
20251102,C1000102,Active,Price Too High,
20251102,C1000103,Active,Better Competitor Offer,Airtel
20251102,C1000104,Active,,Jio
20251102,C1000105,Active,Network Issue,Airtel
20251102,C1000106,Active,Price Too High,Jio
20251102,C1000107,Active,Low Usage,Vi
20251102,C1000108,Active,Network Issue,Jio
20251102,C1000109,Active,Network Issue,Airtel
20251102,C1000110,Active,Price Too High,Jio
20251102,C1000111,Active,Network Issue,Jio
20251102,C1000112,Active,,
20251102,C1000113,Active,Low Usage,
20251102,C1000114,Active,Better Competitor Offer,Vi
20251102,C1000115,Active,,Jio
20251102,C1000116,Active,Low Usage,
20251102,C1000117,Active,Network Issue,
20251102,C1000118,Active,,
20251102,C1000119,Active,Better Competitor Offer,Airtel
20251102,C1000120,Active,Low Usage,Jio
20251102,C1000121,Active,,Jio
20251102,C1000122,Active,Price Too High,
20251102,C1000123,Active,Network Issue,
20251102,C1000124,Active,Network Issue,Airtel
20251102,C1000125,Active,Price Too High,Airtel
20251102,C1000126,Active,Low Usage,Vi
20251102,C1000127,Active,,BSNL
20251102,C1000128,Active,Network Issue,Vi
20251102,C1000129,Active,Better Competitor Offer,Vi
20251102,C1000130,Active,Price Too High,Jio
20251102,C1000131,Active,Network Issue,Jio
20251102,C1000132,Active,Network Issue,Vi
20251102,C1000133,Active,Price Too High,BSNL
20251102,C1000134,Active,,Jio
20251102,C1000135,Active,Price Too High,Jio
20251102,C1000136,Active,Better Competitor Offer,Vi
20251102,C1000137,Active,Low Usage,Airtel
20251102,C1000138,Active,Price Too High,Vi
20251102,C1000139,Active,,Vi
20251102,C1000140,Active,,BSNL
20251102,C1000141,Active,Price Too High,BSNL
20251102,C1000142,Active,Price Too High,Jio
20251102,C1000143,Active,Price Too High,Airtel
20251102,C1000144,Active,Price Too High,Jio
20251102,C1000145,Active,Network Issue,BSNL
20251102,C1000146,Active,Better Competitor Offer,BSNL
20251102,C1000147,Active,Better Competitor Offer,Jio
20251102,C1000148,Active,Network Issue,Jio
20251102,C1000149,Active,Price Too High,Jio
20251102,C1000150,Active,,Vi
20251102,C1000151,Active,Network Issue,Jio
20251102,C1000152,Active,Network Issue,Vi
20251102,C1000153,Active,Price Too High,Vi
20251102,C1000154,Active,,Vi
20251102,C1000155,Active,Network Issue,
20251102,C1000156,Active,Better Competitor Offer,Airtel
20251102,C1000157,Active,Low Usage,
20251102,C1000158,Active,Network Issue,Jio
20251102,C1000159,Active,Low Usage,Jio
20251102,C1000160,Active,Price Too High,Airtel
20251102,C1000161,Active,Better Competitor Offer,Vi
20251102,C1000162,Active,Better Competitor Offer,Jio
20251102,C1000163,Active,Better Competitor Offer,Vi
20251102,C1000164,Active,Network Issue,Airtel
20251102,C1000165,Active,Low Usage,
20251102,C1000166,Active,Price Too High,Airtel
20251102,C1000167,Active,Network Issue,Vi
20251102,C1000168,Active,Network Issue,
20251102,C1000169,Active,Better Competitor Offer,BSNL
20251102,C1000170,,Better Competitor Offer,Airtel
20251102,C1000171,Active,Network Issue,Airtel
20251102,C1000172,Active,Better Competitor Offer,Vi
20251102,C1000173,Active,Network Issue,Jio
20251102,C1000174,Active,Better Competitor Offer,Jio
20251102,C1000175,Active,Network Issue,Airtel
20251102,C1000176,Active,Better Competitor Offer,BSNL
20251102,C1000177,Active,Price Too High,Jio
20251102,C1000178,Active,,Jio
20251102,C1000179,Active,Network Issue,Jio
20251102,C1000180,Active,Price Too High,Vi
20251102,C1000181,Active,Network Issue,Vi
20251102,C1000182,Active,,Vi
20251102,C1000183,Active,,Airtel
20251102,C1000184,Active,Price Too High,
20251102,C1000185,Active,Better Competitor Offer,Airtel
20251102,C1000186,Active,Low Usage,Airtel
20251102,C1000187,Active,Better Competitor Offer,
