customer_id,customer_age,customer_gender,city_identifier,activation_date,customer_type,user_segment,kyc_status,sim_type
C1000000,44,Male,1050,24-06-2025,Postpaid,Self-employed,Verified,Physical SIM
C1000001,43,Female,1072,16-03-2024,Prepaid,Salaried,Verified,Physical SIM
C1000002,30,Male,1011,09-10-2024,Prepaid,Student,Verified,Physical SIM
C1000003,18,Male,1027,02-06-2024,Prepaid,Student,Verified,Physical SIM
C1000004,24,Male,1008,14-10-2025,Postpaid,Salaried,Verified,Physical SIM
C1000005,59,Male,1046,28-11-2025,Prepaid,Salaried,Verified,Physical SIM
C1000006,35,Female,1002,14-07-2025,Prepaid,Salaried,Verified,Physical SIM
C1000007,38,Male,1023,05-07-2023,Prepaid,Student,Verified,Physical SIM
C1000008,38,Female,1056,27-06-2025,Postpaid,Salaried,Verified,Physical SIM
C1000009,51,Female,1068,02-04-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000010,20,Male,1017,12-01-2024,Prepaid,Student,Verified,Physical SIM
C1000011,21,Female,1020,31-08-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000012,29,Female,1002,19-11-2025,Prepaid,Salaried,Verified,Physical SIM
C1000013,38,Male,1027,26-02-2025,Prepaid,Salaried,Verified,Physical SIM
C1000014,46,Female,1053,02-10-2023,Prepaid,Student,Verified,Physical SIM
C1000015,39,Female,1067,04-08-2023,Prepaid,Rural Worker,Verified,Physical SIM
C1000016,36,Female,1032,24-09-2024,Prepaid,Salaried,Verified,Physical SIM
C1000017,58,Male,1008,15-07-2024,Postpaid,Salaried,Verified,Physical SIM
C1000018,24,Female,1025,02-06-2025,Postpaid,Rural Worker,Pending,Physical SIM
C1000019,42,Male,1038,12-12-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000020,41,Male,1046,13-05-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000021,38,Female,1044,04-04-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000022,52,Male,1061,29-10-2025,Postpaid,Student,Verified,Physical SIM
C1000023,29,Female,1044,25-10-2025,Prepaid,Self-employed,Pending,eSIM
C1000024,59,Male,1031,03-10-2025,Prepaid,Salaried,Verified,Physical SIM
C1000025,32,Female,1010,21-01-2025,Postpaid,Rural Worker,Verified,Physical SIM
C1000026,41,Male,1071,05-02-2024,Prepaid,Salaried,Verified,Physical SIM
C1000027,40,Female,1003,17-06-2023,Prepaid,Student,Verified,eSIM
C1000028,54,Male,1025,19-08-2024,Prepaid,Salaried,Verified,Physical SIM
C1000029,36,Female,1032,01-02-2024,Prepaid,Self-employed,Pending,Physical SIM
C1000030,30,Male,1067,30-06-2023,Prepaid,Salaried,Verified,eSIM
C1000031,18,Female,1035,01-12-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000032,33,Female,1031,03-05-2025,Prepaid,Student,Verified,Physical SIM
C1000033,53,Female,1071,11-11-2023,Postpaid,Student,Verified,Physical SIM
C1000034,18,Male,1028,16-04-2023,Prepaid,Salaried,Verified,Physical SIM
C1000035,56,Male,1057,14-08-2023,Prepaid,Salaried,Verified,Physical SIM
C1000036,41,Other,1003,10-07-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000037,24,Male,1045,17-07-2023,Postpaid,Senior,Verified,Physical SIM
C1000038,30,Prefer Not To Say,1055,02-04-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000039,41,Female,1016,15-07-2025,Prepaid,Salaried,Verified,Physical SIM
C1000040,31,Male,1057,02-02-2024,Postpaid,Salaried,Verified,Physical SIM
C1000041,22,Male,1068,19-11-2025,Prepaid,Rural Worker,Verified,Physical SIM
C1000042,46,Male,1005,12-07-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000043,46,Prefer Not To Say,1015,20-06-2023,Postpaid,Self-employed,Verified,Physical SIM
C1000044,23,Male,1011,05-10-2024,Prepaid,Salaried,Verified,Physical SIM
C1000045,30,Male,1072,22-04-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000046,28,Male,1022,27-01-2025,Prepaid,Student,Verified,Physical SIM
C1000047,46,Female,1071,31-08-2023,Postpaid,Self-employed,Verified,eSIM
C1000048,49,Male,1029,27-01-2025,Postpaid,Rural Worker,Verified,Physical SIM
C1000049,49,Male,1074,09-07-2024,Prepaid,Rural Worker,Pending,Physical SIM
C1000050,58,Male,1043,06-09-2023,Prepaid,Student,Verified,Physical SIM
C1000051,51,Male,1022,29-07-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000052,31,Female,1039,02-02-2024,Prepaid,Student,Verified,eSIM
C1000053,22,Female,1011,16-10-2023,Prepaid,Salaried,Verified,Physical SIM
C1000054,44,Female,1015,31-07-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000055,57,Male,1048,13-03-2024,Prepaid,Salaried,Verified,Physical SIM
C1000056,59,Female,1057,06-05-2023,Prepaid,Salaried,Verified,Physical SIM
C1000057,27,Male,1032,20-01-2025,Prepaid,Self-employed,Verified,Physical SIM
