date_key,customer_id,plan_id,data_allocated_mb,data_carried_forward_mb,data_consumed_mb,voice_minutes_used,sms_used,network_type,usage_source
20251101,C1000000,2101,2048,18,1658,10,2,5G,Mobile
20251102,C1000000,2101,2048,393,1478,4,0,4G,Mobile
20251103,C1000000,2102,3413,444,,10,0,4G,Hotspot
20251104,C1000000,2102,3413,117,1299,15,0,4G,Hotspot
20251105,C1000000,2103,6144,536,450,9,2,4G,Mobile
20251106,C1000000,2101,2048,46,886,11,3,5G,Mobile
20251107,C1000000,2102,3413,397,850,12,2,4G,Mobile
20251108,C1000000,2102,3413,269,1393,11,1,4G,Mobile
20251109,C1000000,2101,2048,363,1325,16,0,4G,Mobile
20251110,C1000000,2103,6144,79,177,12,0,4G,Mobile
20251111,C1000000,2102,3413,18,388,15,0,4G,Mobile
20251112,C1000000,2102,3413,287,102,16,1,4G,Hotspot
20251113,C1000000,2101,2048,334,1332,12,3,4G,Mobile
20251114,C1000000,2102,3413,526,1427,10,2,4G,Mobile
20251115,C1000000,2101,2048,154,1174,14,2,4G,Hotspot
20251116,C1000000,2101,2048,25,1212,9,4,5G,Mobile
20251117,C1000000,2101,2048,3,1933,6,1,5G,Mobile
20251118,C1000000,2102,3413,72,601,11,1,5G,Hotspot
20251119,C1000000,2102,3413,6,1703,11,4,4G,Mobile
20251120,C1000000,2102,3413,184,243,11,3,4G,Mobile
20251121,C1000000,2102,3413,75,1878,19,2,4G,Mobile
20251122,C1000000,2103,6144,323,2372,4,1,5G,Mobile
20251123,C1000000,2102,3413,28,584,8,2,4G,Mobile
20251124,C1000000,2101,2048,38,865,9,1,4G,Hotspot
20251125,C1000000,2103,6144,366,225,13,1,4G,Hotspot
20251126,C1000000,2101,2048,19,2472,11,3,4G,Mobile
20251127,C1000000,2102,3413,186,500,15,4,5G,Mobile
20251128,C1000000,2101,2048,11,803,9,4,4G,Hotspot
20251129,C1000000,2102,3413,469,518,17,3,4G,Mobile
20251130,C1000000,2102,3413,137,1846,7,1,4G,Hotspot
20251101,C1000001,2001,1536,,725,16,2,4G,Mobile
20251102,C1000001,2002,2048,,942,10,1,4G,Mobile
20251103,C1000001,2003,2048,421,533,7,2,4G,Mobile
20251104,C1000001,2002,2048,,328,15,4,4G,Mobile
20251105,C1000001,2005,2560,,1689,10,0,5G,Mobile
20251106,C1000001,2201,1024,,528,9,1,4G,Mobile
20251107,C1000001,2201,1024,,576,10,1,4G,Mobile
20251108,C1000001,2003,2048,18,1340,18,0,4G,Mobile
20251109,C1000001,2005,2560,,1689,10,1,5G,Mobile
20251110,C1000001,2002,2048,,1173,19,3,4G,Mobile
20251111,C1000001,2001,1536,,770,9,1,4G,Mobile
20251112,C1000001,2003,2048,284,640,11,1,4G,Mobile
20251113,C1000001,2002,2048,,1024,15,1,4G,Mobile
20251114,C1000001,2201,1024,,519,8,1,5G,Mobile
20251115,C1000001,2005,2560,,1106,12,0,4G,Mobile
20251116,C1000001,2002,2048,,1628,17,1,4G,Mobile
20251117,C1000001,2001,1536,,678,20,1,4G,Mobile
20251118,C1000001,2002,2048,,1334,7,1,4G,Hotspot
20251119,C1000001,2002,2048,,440,8,4,5G,Mobile
20251120,C1000001,2004,1024,543,342,9,4,5G,Mobile
20251121,C1000001,2201,1024,,272,18,0,4G,Mobile
20251122,C1000001,2002,2048,,548,17,2,4G,Mobile
20251123,C1000001,2005,2560,,153,12,2,4G,Mobile
20251124,C1000001,2004,1024,593,162,12,4,4G,Mobile
20251125,C1000001,2002,2048,,1026,13,1,4G,Mobile
20251126,C1000001,2001,1536,,117,10,1,4G,Mobile
20251127,C1000001,2001,1536,,768,14,2,4G,Mobile
20251128,C1000001,2003,2048,29,525,14,2,4G,Mobile
20251129,C1000001,2201,1024,,71,12,1,4G,Mobile
20251130,C1000001,2003,2048,537,461,16,2,4G,Mobile
20251101,C1000002,2005,2560,,1319,8,2,4G,Hotspot
20251102,C1000002,2003,2048,541,1026,12,2,4G,Mobile
20251103,C1000002,2002,2048,,1205,15,2,4G,Mobile
20251104,C1000002,2001,1536,,132,11,2,4G,Mobile
20251105,C1000002,2005,2560,,2044,5,2,4G,Mobile
20251106,C1000002,2002,2048,,1231,11,0,4G,Mobile
