billing_id,billing_month,customer_id,plan_id,billed_amount_inr,discount_applied_inr,late_fee_inr,refund_amount_inr,net_revenue_inr,billing_status
B5000000,2025-11,C1000000,2102,799,0,0,0,799,Billed
B5000001,2025-11,C1000001,2003,999,0,0,299,700,Refunded
B5000002,2025-11,C1000002,2201,199,0,0,0,199,Billed
B5000003,2025-11,C1000003,2005,499,0,0,0,499,Billed
B5000004,2025-11,C1000004,2101,499,0,0,0,499,Billed
B5000005,2025-11,C1000005,2005,499,0,0,0,499,Billed
B5000006,2025-11,C1000006,2002,399,0,0,0,399,Billed
B5000007,2025-11,C1000007,2002,399,0,0,0,399,Billed
B5000008,2025-11,C1000008,2101,499,0,0,99,400,Adjusted
B5000009,2025-11,C1000009,2001,299,50,0,0,249,Billed
B5000010,2025-11,C1000010,2003,999,0,0,0,999,Billed
B5000011,2025-11,C1000011,2001,299,0,0,0,299,Billed
B5000012,2025-11,C1000012,2002,399,0,0,0,399,Billed
B5000013,2025-11,C1000013,2201,199,0,0,0,199,Billed
B5000014,2025-11,C1000014,2002,399,50,0,0,349,Billed
B5000015,2025-11,C1000015,2001,299,0,0,0,299,Billed
B5000016,2025-11,C1000016,2201,199,0,0,0,199,Billed
B5000017,2025-11,C1000017,2103,999,0,0,49,950,Adjusted
B5000018,2025-11,C1000018,2103,999,0,0,199,800,Refunded
B5000019,2025-11,C1000019,2201,199,0,0,0,199,Billed
B5000020,2025-11,C1000020,2002,399,0,0,0,399,Billed
B5000021,2025-11,C1000021,2201,199,0,0,0,199,Billed
B5000022,2025-11,C1000022,2103,999,30,0,0,969,Billed
B5000023,2025-11,C1000023,2001,299,0,0,0,299,Billed
B5000024,2025-11,C1000024,2002,399,0,0,0,399,Billed
B5000025,2025-11,C1000025,2102,799,0,0,0,799,Billed
B5000026,2025-11,C1000026,2002,399,50,0,0,349,Billed
B5000027,2025-11,C1000027,2003,999,0,0,0,999,Billed
B5000028,2025-11,C1000028,2001,299,0,0,0,299,Billed
B5000029,2025-11,C1000029,2201,199,0,0,0,199,Billed
B5000030,2025-11,C1000030,2002,399,30,0,0,369,Billed
B5000031,2025-11,C1000031,2004,249,0,0,0,249,Billed
B5000032,2025-11,C1000032,2004,249,20,0,0,229,Billed
B5000033,2025-11,C1000033,2102,799,0,0,0,799,Billed
B5000034,2025-11,C1000034,2001,299,0,0,0,299,Billed
B5000035,2025-11,C1000035,2001,299,0,0,0,299,Billed
B5000036,2025-11,C1000036,2002,399,0,0,0,399,Billed
B5000037,2025-11,C1000037,2101,499,50,0,299,150,Refunded
B5000038,2025-11,C1000038,2002,399,0,0,0,399,Billed
B5000039,2025-11,C1000039,2003,999,0,0,0,999,Billed
B5000040,2025-11,C1000040,2101,499,0,0,0,499,Billed
B5000041,2025-11,C1000041,2003,999,30,0,0,969,Billed
B5000042,2025-11,C1000042,2002,399,0,0,0,399,Billed
B5000043,2025-11,C1000043,2102,799,0,0,0,799,Billed
B5000044,2025-11,C1000044,2003,999,50,0,0,949,Billed
B5000045,2025-11,C1000045,2002,399,30,0,0,369,Billed
B5000046,2025-11,C1000046,2003,999,0,0,0,999,Billed
B5000047,2025-11,C1000047,2103,999,0,50,0,1049,Billed
B5000048,2025-11,C1000048,2101,499,75,0,0,424,Billed
B5000049,2025-11,C1000049,2003,999,0,0,0,999,Billed
B5000050,2025-11,C1000050,2002,399,0,0,0,399,Billed
B5000051,2025-11,C1000051,2002,399,30,0,0,369,Billed
B5000052,2025-11,C1000052,2001,299,0,0,0,299,Billed
B5000053,2025-11,C1000053,2002,399,0,0,0,399,Billed
B5000054,2025-11,C1000054,2001,299,0,0,0,299,Billed
B5000055,2025-11,C1000055,2004,249,0,0,0,249,Billed
B5000056,2025-11,C1000056,2002,399,0,0,0,399,Billed
B5000057,2025-11,C1000057,2001,299,0,0,0,299,Billed
B5000058,2025-11,C1000058,2002,399,0,0,0,399,Billed
B5000059,2025-11,C1000059,2002,399,20,0,0,379,Billed
B5000060,2025-11,C1000060,2001,299,0,0,0,,Billed
B5000061,2025-11,C1000061,2003,999,0,0,1149,-150,Refunded
B5000062,2025-11,C1000062,2002,399,0,0,0,399,Billed
B5000063,2025-11,C1000063,2003,999,0,0,0,999,Billed
B5000064,2025-11,C1000064,2003,999,0,0,0,999,Billed
B5000065,2025-11,C1000065,2002,399,0,0,0,399,Billed
B5000066,2025-11,C1000066,2101,499,0,0,0,499,Billed
B5000067,2025-11,C1000067,2002,399,20,0,0,379,Billed
B5000068,2025-11,C1000068,2201,199,0,0,0,199,Billed
B5000069,2025-11,C1000069,2101,499,50,0,0,449,Billed
B5000070,2025-11,C1000070,2002,399,0,0,0,399,Billed
B5000071,2025-11,C1000071,2005,499,0,0,0,499,Billed
B5000072,2025-11,C1000072,2002,399,0,0,0,399,Billed
B5000073,2025-11,C1000073,2002,399,0,0,0,399,Billed
B5000074,2025-11,C1000074,2001,299,0,0,0,299,Billed
B5000075,2025-11,C1000075,2201,199,0,0,0,199,Billed
B5000076,2025-11,C1000076,2103,999,0,0,0,999,Billed
B5000077,2025-11,C1000077,2002,399,0,0,0,399,Billed
B5000078,2025-11,C1000078,2201,199,30,0,0,169,Billed
B5000079,2025-11,C1000079,2102,799,0,0,0,799,Billed
B5000080,2025-11,C1000080,2003,999,0,0,0,999,Billed
B5000081,2025-11,C1000081,2004,249,0,0,0,249,Billed
B5000082,2025-11,C1000082,2003,999,0,0,0,999,Billed
B5000083,2025-11,C1000083,2003,999,0,0,0,999,Billed
B5000084,2025-11,C1000084,2102,799,50,0,0,749,Billed
B5000085,2025-11,C1000085,2002,399,0,0,0,399,Billed
B5000086,2025-11,C1000086,2002,399,0,0,0,399,Billed
B5000087,2025-11,C1000087,2201,199,0,0,0,199,Billed
B5000088,2025-11,C1000088,2001,299,30,0,0,269,Billed
B5000089,2025-11,C1000089,2201,199,30,0,0,169,Billed
B5000090,2025-11,C1000090,2002,399,0,0,0,399,Billed
B5000091,2025-11,C1000091,2201,199,0,0,0,199,Billed
B5000092,2025-11,C1000092,2003,999,0,0,0,999,Billed
B5000093,2025-11,C1000093,2201,199,0,0,0,199,Billed
B5000094,2025-11,C1000094,2101,499,0,0,149,350,Adjusted
B5000095,2025-11,C1000095,2003,999,0,0,0,999,Billed
B5000096,2025-11,C1000096,2201,199,0,0,0,199,Billed
B5000097,2025-11,C1000097,2101,499,0,0,0,499,Billed
B5000098,2025-11,C1000098,2001,299,0,0,0,299,Billed
B5000099,2025-11,C1000099,2002,399,0,0,0,399,Billed
B5000100,2025-11,C1000100,2101,499,0,0,0,499,Billed
B5000101,2025-11,C1000101,2101,499,75,0,0,424,Billed
B5000102,2025-11,C1000102,2004,249,0,0,0,249,Billed
B5000103,2025-11,C1000103,2001,299,30,0,0,269,Billed
B5000104,2025-11,C1000104,2102,799,30,0,0,769,Billed
B5000105,2025-11,C1000105,2003,999,30,0,0,969,Billed
B5000106,2025-11,C1000106,2002,399,30,0,0,369,Billed
B5000107,2025-11,C1000107,2001,299,0,0,0,299,Billed
B5000108,2025-11,C1000108,2003,999,0,0,0,999,Billed
B5000109,2025-11,C1000109,2101,499,20,0,0,479,Billed
B5000110,2025-11,C1000110,2101,499,0,0,0,499,Billed
B5000111,2025-11,C1000111,2003,999,75,0,0,924,Billed
B5000112,2025-11,C1000112,2002,399,0,0,0,399,Billed
B5000113,2025-11,C1000113,2002,399,0,0,0,399,Billed
B5000114,2025-11,C1000114,2002,399,0,0,0,399,Billed
B5000115,2025-11,C1000115,2002,399,30,0,0,369,Billed
B5000116,2025-11,C1000116,2201,199,20,0,0,179,Billed
B5000117,2025-11,C1000117,2003,999,0,0,0,999,Billed
B5000118,2025-11,C1000118,2001,299,30,0,0,269,Billed
B5000119,2025-11,C1000119,2003,999,0,0,0,999,Billed
B5000120,2025-11,C1000120,2001,299,0,0,0,299,Billed
B5000121,2025-11,C1000121,2102,799,0,0,0,799,Billed
B5000122,2025-11,C1000122,2004,249,50,0,0,199,Billed
B5000123,2025-11,C1000123,2001,299,0,0,0,299,Billed
B5000124,2025-11,C1000124,2002,399,,0,0,399,Billed
B5000125,2025-11,C1000125,2003,999,0,0,0,999,Billed
B5000126,2025-11,C1000126,2201,199,0,0,0,199,Billed
B5000127,2025-11,C1000127,2001,299,0,0,0,299,Billed
B5000128,2025-11,C1000128,2002,399,0,0,0,399,Billed
B5000129,2025-11,C1000129,2003,999,0,0,0,999,Billed
B5000130,2025-11,C1000130,2002,399,0,0,0,399,Billed
B5000131,2025-11,C1000131,2004,249,0,0,0,249,Billed
B5000132,2025-11,C1000132,2003,999,0,0,0,999,Billed
B5000133,2025-11,C1000133,2002,399,0,0,0,399,Billed
B5000134,2025-11,C1000134,2003,999,100,0,0,899,Billed
B5000135,2025-11,C1000135,2001,299,0,0,0,299,Billed
B5000136,2025-11,C1000136,2101,499,0,50,0,549,Billed
B5000137,2025-11,C1000137,2003,999,0,0,0,999,Billed
B5000138,2025-11,C1000138,2001,299,0,0,0,299,Billed
B5000139,2025-11,C1000139,2001,299,30,0,0,269,Billed
B5000140,2025-11,C1000140,2001,299,0,0,0,299,Billed
B5000141,2025-11,C1000141,2201,199,0,0,0,199,Billed
B5000142,2025-11,C1000142,2102,799,0,0,0,799,Billed
B5000143,2025-11,C1000143,2004,249,0,0,0,249,Billed
B5000144,2025-11,C1000144,2002,399,0,0,0,399,Billed
B5000145,2025-11,C1000145,2002,399,0,0,0,399,Billed
B5000146,2025-11,C1000146,2201,199,0,0,0,199,Billed
B5000147,2025-11,C1000147,2102,799,0,0,0,799,Billed
B5000148,2025-11,C1000148,2103,999,50,25,0,974,Billed
B5000149,2025-11,C1000149,2201,199,0,0,0,,Billed
B5000150,2025-11,C1000150,2003,999,0,0,0,999,Billed
B5000151,2025-11,C1000151,2002,399,0,0,0,399,Billed
B5000152,2025-11,C1000152,2003,999,100,0,0,899,Billed
